endereco,preco,condominio,tamanho_m2,quartos,banheiros,vagas
"Rua Zeferino de Faria - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",870.000,1.400,"
                166
              ","3
","3
","2
"
"Rua Roberto Dias Lópes, 220 - Leme, Rio de Janeiro - RJ",1.250.000,1.100,"
                77
              ","2
","2
","1
"
"Rua Antônio Parreiras, 131 - Boa Viagem, Niterói - RJ",Consulta,,"
                100-394
              ","3-4
","4
","2-4
"
"Recreio Dos Bandeirantes, Rio de Janeiro - RJ",680.000,,"
                130
              ","1
","1
","2
"
"Rua Otávio Correia, 419 - Urca, Rio de Janeiro - RJ",3.950.000,,"
                300
              ","5
","5
","3
"
"Rua Voluntários da Pátria, 477 - Humaitá, Rio de Janeiro - RJ",1.350.000,1.550,"
                95
              ","3
","3
","1
"
"Rua Santo Afonso, 436 - Tijuca, Rio de Janeiro - RJ",430.000,1.055,"
                100
              ","3
","1
","--
"
"Estrada dos Três Rios, 1173 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",80.000,,"
                23
              ","--
","1
","1
"
"Rua Professor Henrique Costa, 188 - Pechincha, Rio de Janeiro - RJ",210.000,720,"
                62
              ","2
","1
","1
"
"Rua Conde de Bonfim, 1349 - Tijuca, Rio de Janeiro - RJ",830.000,1.450,"
                150
              ","4
","3
","1
"
"Rua Ministro Raul Fernandes, 216 - Botafogo, Rio de Janeiro - RJ",Consulta,,"
                105
              ","3-4
","2-3
","1-2
"
